<HTML>
<TITLE>University of Wyoming - Radiosonde Data</TITLE>
<BODY BGCOLOR="white">
<H2>72357 OUN Norman Observations at 00Z 04 Jul 2011</H2>
<PRE>
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
   94.4  17069  -72.3  -80.4     29   0.01     55     28  394.3  394.3  394.3
   89.6  17374  -71.3  -79.8     28   0.01     60     14  402.1  402.1  402.1
   85.1  17678  -70.3  -79.2     26   0.01     30      8  410.0  410.1  410.0
   83.2  17814  -69.9  -78.9     26   0.01     29     11  413.6  413.6  413.6
   76.9  18288  -65.7  -75.4     25   0.02     25     22  431.7  431.9  431.7
   74.1  18512  -63.7  -73.7     24   0.02     55     25  440.5  440.7  440.6
   73.1  18593  -63.9  -73.9     24   0.02     65     26  441.7  441.9  441.7
   70.0  18860  -64.7  -74.7     24   0.02     75     29  445.6  445.8  445.6
   69.6  18898  -64.6  -74.6     24   0.02     75     29  446.6  446.7  446.6
   67.3  19100  -64.3  -74.3     24   0.02     92     23  451.5  451.7  451.5
   63.0  19507  -66.7  -76.7     23   0.02    125     11  455.0  455.1  455.0
   63.0  19502  -66.7  -76.7     23   0.02    125     11  454.8  455.0  454.9
   59.9  19812  -64.1  -74.6     23   0.03     25     10  467.2  467.4  467.2
   56.2  20203  -60.9  -71.9     22   0.04     64     24  483.1  483.4  483.1
   54.2  20422  -61.5  -72.5     22   0.04     85     32  486.6  486.9  486.6
   53.7  20485  -61.7  -72.7     22   0.04     83     30  487.6  487.9  487.6
   51.7  20726  -60.5  -72.0     21   0.04     75     23  495.8  496.1  495.8
   50.0  20930  -59.5  -71.5     20   0.05     90     23  502.8  503.2  502.9
   49.7  20968  -59.3  -71.3     20   0.05     99     21  504.2  504.5  504.2
   49.2  21031  -59.4  -71.4     20   0.05    115     18  505.4  505.7  505.4
   46.9  21336  -59.9  -71.9     19   0.05     85     18  511.2  511.6  511.3
   46.1  21437  -60.1  -72.1     19   0.05     78     19  513.2  513.5  513.2
   44.6  21641  -58.8  -71.3     18   0.06     65     22  521.1  521.5  521.1
   43.1  21858  -57.5  -70.5     18   0.07     76     25  529.5  530.0  529.6
   42.5  21946  -57.7  -70.7     18   0.07     80     26  531.2  531.7  531.2
   40.6  22234  -58.3  -71.3     17   0.06     75     25  536.7  537.1  536.7
   38.6  22555  -56.3  -70.4     15   0.07     70     23  549.6  550.2  549.6
   37.1  22805  -54.7  -69.7     14   0.09     82     33  559.9  560.6  559.9
   36.8  22860  -54.7  -69.7     14   0.09     85     35  561.3  562.0  561.3
   35.1  23165  -54.7  -69.7     14   0.09    100     31  569.0  569.7  569.0
   35.0  23177  -54.7  -69.7     14   0.09    100     31  569.3  570.0  569.3
   33.5  23458  -52.5  -69.5     11   0.10     95     31  582.3  583.1  582.3
   31.9  23774  -52.2  -70.2     10   0.09     90     32  591.3  592.1  591.3
   30.4  24084  -51.9  -70.9      8   0.09     94     28  600.3  601.0  600.3
   30.0  24170  -52.3  -71.3      8   0.08     95     27  601.5  602.2  601.5
   29.0  24384  -52.7  -71.7      8   0.08     95     29  606.0  606.7  606.0
   27.8  24662  -53.3  -72.3      8   0.08    109     26  611.9  612.6  611.9
   27.7  24689  -53.3  -72.5      8   0.08    110     26  612.7  613.4  612.8
   26.4  24994  -53.0  -74.5      6   0.06     80     24  621.9  622.5  622.0
   24.6  25451  -52.5  -77.5      3   0.04     72     25  636.0  636.4  636.0
   24.1  25584  -50.7  -78.7      2   0.03     70     25  644.9  645.3  644.9
   24.0  25603  -50.7  -78.9      2   0.03     70     25  645.6  645.9  645.6
   23.1  25861  -50.1  -81.1      1   0.02     78     22  654.5  654.8  654.6
   22.9  25908  -50.2  -81.3      1   0.02     80     21  655.6  655.9  655.6
   21.0  26482  -51.3  -84.3      1   0.02     85     32  669.0  669.2  669.0
   20.9  26518  -51.2  -84.3      1   0.02     85     33  670.5  670.6  670.5
   20.0  26800  -50.1  -84.1      1   0.02     80     25  682.1  682.2  682.1
   19.9  26822  -50.0  -84.0      1   0.02     80     26  682.9  683.0  682.9
   19.2  27067  -49.5  -83.5      1   0.02     96     28  691.9  692.1  691.9
   19.0  27127  -49.0  -83.1      1   0.02    100     28  695.4  695.6  695.4
   18.2  27432  -46.2  -81.0      1   0.03     95     22  713.3  713.6  713.3
   17.9  27531  -45.3  -80.3      1   0.04     94     22  719.2  719.6  719.2
   16.6  28042  -45.3  -80.3      1   0.04     90     21  735.1  735.5  735.1
   14.8  28800  -45.3  -80.3      1   0.04    106     25  759.3  759.8  759.4
   13.8  29261  -44.0  -79.3      1   0.05    115     27  778.9  779.5  778.9
   13.2  29566  -43.1  -78.7      1   0.06    105     26  792.1  792.9  792.1
   12.6  29870  -42.2  -78.0      1   0.07     65     28  805.5  806.4  805.5
   12.2  30101  -41.5  -77.5      1   0.08     76     28  815.8  816.8  815.9
   12.1  30175  -41.1  -77.3      1   0.09     80     28  819.8  820.8  819.8
   11.5  30480  -39.4  -76.4      1   0.10     75     31  836.2  837.4  836.2
   11.0  30785  -37.8  -75.5      1   0.12     75     38  852.9  854.4  853.0
   10.9  30873  -37.3  -75.3      1   0.13     78     35  857.8  859.4  857.8
   10.6  31090  -36.8  -74.8      1   0.14     85     29  867.4  869.2  867.4
   10.0  31470  -35.9  -73.9      1   0.17     75     36  884.4  886.6  884.5
    9.3  32004  -35.5  -73.9      1   0.19     70     42  905.6  908.1  905.8
    8.5  32614  -35.0  -73.9      1   0.20     60     32  930.6  933.3  930.7
    8.4  32684  -34.9  -73.9      1   0.21                933.5  936.2  933.6
</PRE><H3>Station information and sounding indices</H3><PRE>
                         Station identifier: OUN
                             Station number: 72357
                           Observation time: 110704/0000
                           Station latitude: 35.18
                          Station longitude: -97.44
                          Station elevation: 345.0
                            Showalter index: 0.96
                               Lifted index: 0.37
    LIFT computed using virtual temperature: -0.15
                                SWEAT index: 128.41
                                    K index: 35.70
                         Cross totals index: 14.50
                      Vertical totals index: 32.50
                        Totals totals index: 47.00
      Convective Available Potential Energy: 1.90
             CAPE using virtual temperature: 23.39
                      Convective Inhibition: -81.78
             CINS using virtual temperature: -48.73
                           Equilibrum Level: 324.75
 Equilibrum Level using virtual temperature: 323.49
                   Level of Free Convection: 555.32
             LFCT using virtual temperature: 598.52
                     Bulk Richardson Number: 0.18
          Bulk Richardson Number using CAPV: 2.26
  Temp [K] of the Lifted Condensation Level: 278.61
Pres [hPa] of the Lifted Condensation Level: 662.59
   Equivalent potential temp [K] of the LCL: 340.37
     Mean mixed layer potential temperature: 313.39
              Mean mixed layer mixing ratio: 8.64
              1000 hPa to 500 hPa thickness: 5832.00
Precipitable water [mm] for entire sounding: 31.04
</PRE>
<P>Description of the 
<A HREF="/upperair/columns.html">data columns</A>
or <A HREF="/upperair/indices.html">sounding indices</A>.

<P>
<FORM>
<INPUT CLASS="button" TYPE="button" VALUE=" Close this window " 
 onClick="window.close();">
<INPUT CLASS="button" TYPE="button" VALUE=" Select another map " 
 onClick="window.blur();">
</FORM>
<HR SIZE="1">
<I>Interested in graduate studies in atmospheric science?
Check out our program at the
<a href="http://www.uwyo.edu/atsc/howtoapply/"
target=_top>University of Wyoming
</a></I>
<HR SIZE="1"><FONT SIZE="-1">
Questions about the weather data provided by this site can be
addressed to <A HREF="mailto:ldoolman@uwyo.edu">
Larry Oolman (ldoolman@uwyo.edu)</A></FONT>
<HR SIZE="1">
<SCRIPT TYPE="text/javascript">
<!--
window.focus();
// -->
</SCRIPT>
</BODY>
</HTML>
