<HTML>
<TITLE>University of Wyoming - Radiosonde Data</TITLE>
<BODY BGCOLOR="white">
<H2>72357 OUN Norman Observations at 12Z 04 Jul 2020</H2>
<PRE>
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   51.4  20748  -61.3  -68.3     39   0.08     55     17  494.7  495.2  494.7
   50.0  20920  -59.9  -67.9     34   0.08     55     20  501.9  502.5  501.9
   46.8  21336  -56.1  -66.5     26   0.11     55     19  520.5  521.3  520.5
   46.0  21447  -55.1  -66.1     24   0.11     58     21  525.6  526.4  525.6
   42.5  21946  -57.7  -67.1     29   0.11     70     31  531.0  531.8  531.1
   41.8  22054  -58.3  -67.3     31   0.11     70     30  532.2  533.0  532.2
   36.8  22860  -57.4  -67.2     28   0.12     70     25  554.2  555.2  554.3
   35.1  23165  -57.1  -67.1     27   0.13     95     28  562.9  563.9  562.9
   35.1  23157  -57.1  -67.1     27   0.13     94     28  562.6  563.6  562.6
   30.4  24079  -53.4  -65.3     22   0.19     95     23  596.2  597.8  596.3
   30.0  24160  -53.1  -65.1     22   0.20    100     24  599.3  600.9  599.4
   26.4  24994  -52.0  -66.1     17   0.20    120     23  625.0  626.7  625.0
   26.4  24983  -52.1  -66.1     17   0.20    120     23  624.4  626.1  624.5
   25.2  25298  -49.4  -64.9     14   0.24     95     22  641.0  643.1  641.0
   24.1  25578  -46.9  -63.9     13   0.29    107     21  656.0  658.5  656.1
   22.9  25908  -47.0  -64.3     12   0.29    120     19  665.2  667.8  665.3
   21.9  26213  -47.0  -64.7     12   0.29     90     14  673.9  676.5  674.0
   20.7  26582  -47.1  -65.1     11   0.29     68     18  684.5  687.2  684.6
   20.0  26822  -44.8  -64.9      9   0.31     55     22  698.6  701.6  698.8
   20.0  26810  -44.9  -64.9      9   0.31     55     21  698.0  700.9  698.1
   18.9  27191  -41.5  -63.5      7   0.40     70     24  719.9  723.7  720.1
   18.2  27432  -41.6  -64.2      7   0.37     80     26  727.0  730.6  727.1
   17.4  27737  -41.7  -65.1      6   0.35    100     25  736.0  739.5  736.1
   14.9  28805  -42.1  -68.1      4   0.27     87     19  768.5  771.4  768.6
   14.6  28956  -40.9  -68.3      4   0.27     85     18  777.3  780.2  777.4
   13.9  29261  -38.6  -68.6      3   0.27     60     24  795.2  798.1  795.3
   13.7  29379  -37.7  -68.7      2   0.27     60     24  802.2  805.2  802.3
   13.3  29566  -37.5  -69.3      2   0.25     60     25  809.1  811.9  809.2
   11.7  30480  -36.5  -72.3      1   0.19     85     33  843.6  845.8  843.7
   11.6  30530  -36.5  -72.5      1   0.18     86     33  845.5  847.7  845.6
   10.2  31394  -40.4  -77.2      1   0.10    100     33  862.0  863.3  862.0
   10.0  31550  -41.1  -78.1      1   0.09    100     34  865.0  866.1  865.0
    9.7  31757  -40.9  -77.9      1   0.10     99     36  873.3  874.5  873.4
    8.2  32919  -32.7  -78.7      0   0.10                948.6  950.0  948.6
    8.2  32918  -32.7  -78.7      0   0.10     95     46  948.5  949.9  948.6
    8.0  33093  -32.5  -78.5      0   0.11                956.1  957.6  956.2
</PRE><H3>Station information and sounding indices</H3><PRE>
                         Station identifier: OUN
                             Station number: 72357
                           Observation time: 200704/1200
                           Station latitude: 35.18
                          Station longitude: -97.44
                          Station elevation: 345.0
                            Showalter index: -6.72
                               Lifted index: -5.87
    LIFT computed using virtual temperature: -6.53
                                SWEAT index: 407.81
                                    K index: 39.10
                         Cross totals index: 25.70
                      Vertical totals index: 31.70
                        Totals totals index: 57.40
      Convective Available Potential Energy: 340.41
             CAPE using virtual temperature: 404.73
                      Convective Inhibition: -270.22
             CINS using virtual temperature: -230.69
                           Equilibrum Level: 272.83
 Equilibrum Level using virtual temperature: 272.24
                   Level of Free Convection: 668.53
             LFCT using virtual temperature: 685.76
                     Bulk Richardson Number: 10.50
          Bulk Richardson Number using CAPV: 12.48
  Temp [K] of the Lifted Condensation Level: 290.76
Pres [hPa] of the Lifted Condensation Level: 871.75
   Equivalent potential temp [K] of the LCL: 346.20
     Mean mixed layer potential temperature: 302.41
              Mean mixed layer mixing ratio: 14.79
              1000 hPa to 500 hPa thickness: 5782.00
Precipitable water [mm] for entire sounding: 45.86
</PRE>
<P>Description of the 
<A HREF="/upperair/columns.html">data columns</A>
or <A HREF="/upperair/indices.html">sounding indices</A>.

<P>
<FORM>
<INPUT CLASS="button" TYPE="button" VALUE=" Close this window " 
 onClick="window.close();">
<INPUT CLASS="button" TYPE="button" VALUE=" Select another map " 
 onClick="window.blur();">
</FORM>
<HR SIZE="1">
<I>Interested in graduate studies in atmospheric science?
Check out our program at the
<a href="http://www.uwyo.edu/atsc/howtoapply/"
target=_top>University of Wyoming
</a></I>
<HR SIZE="1"><FONT SIZE="-1">
Questions about the weather data provided by this site can be
addressed to <A HREF="mailto:ldoolman@uwyo.edu">
Larry Oolman (ldoolman@uwyo.edu)</A></FONT>
<HR SIZE="1">
<SCRIPT TYPE="text/javascript">
<!--
window.focus();
// -->
</SCRIPT>
</BODY>
</HTML>
